province_code,province_name,district_code,district_name,total_population,male,female,rural_population,urban_population,source_title,source_url,publication_date,table_title,table_page,verification_status
LP,Luapula,LP-CHEMBE,Chembe,51634,26205,25429,51634,0,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-CHIENGE,Chienge,190566,94023,96543,175401,15165,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-CHIFUNABULI,Chifunabuli,116634,57015,59619,81391,35243,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-CHIPILI,Chipili,47473,23676,23797,47473,0,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-KAWAMBWA,Kawambwa,124046,61491,62555,92885,31161,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-LUNGA,Lunga,39462,19343,20119,39462,0,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-MANSA,Mansa,329622,161891,167731,157899,171723,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-MILENGE,Milenge,56638,27776,28862,56638,0,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-MWANSABOMBWE,Mwansabombwe,58992,28602,30390,42915,16077,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-MWENSE,Mwense,122796,59873,62923,115888,6908,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-NCHELENGE,Nchelenge,234259,116149,118110,156513,77746,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
LP,Luapula,LP-SAMFYA,Samfya,147356,71354,76002,96047,51309,"2022 Census of Population and Housing Summary Report Part 2","https://www.zamstats.gov.zm/2022-census-of-population-and-housing-summary-report-part-2/","2024-06","Dejure Population by Sex, Rural/Urban, Province, District, Constituency and Ward, Zambia 2022",45,"VERIFIED"
